,filename,xmin,ymin,xmax,ymax,width,height,classes
14513,a754ae3c183ff0b14874ae2ac85a80e0_575978852040798201_7600474.jpg,95,67,197,272,640,640,Sweater
2255,56af1e8f7db45112b7ce94a4c6efd747_600362057531374269_284249589.jpg,404,30,555,329,640,640,Outerwear
5320,e5ee49ee1d038065c868feb172a01633_678691713809320077_273416729.jpg,262,145,477,575,640,640,Dress
380,7a7aa1240770b3b6939e8a45b64c0c75_824630061986172643_424124818.jpg,254,183,352,378,640,640,Sweater
27024,e309d5250ab943f0560d8026d3646a96_620638580743449650_641751898.jpg,99,51,220,290,640,640,Outerwear
24751,a14805edbf8d05172abc5d5b07badf68_688345438054653282_18735134.jpg,65,46,350,616,640,640,Sweater
15647,4f1025e7494c2e2edd8e047400850550_536725251627693578_535449108.jpg,104,62,229,312,612,612,Shirt
20519,b7660231f2496af10245f87cf3b11a20_541685821110275799_535892354.jpg,100,13,248,308,612,612,T-shirt
6253,8f746a5baa12f3db12cf227e8f72e0f2_492387336276455956_337932603.jpg,285,104,393,319,612,612,Shirt
23454,5bd146407565a4718872ccecbbb31c2b_1087222106645257538_1450530694.jpg,132,128,323,509,640,640,T-shirt
23166,9492723b2a7cc04bf2a335404a9f5064_743023647501968648_508426144.jpg,450,280,512,405,640,640,Outerwear
15567,8f14e226a0d856f0ff3f7a43b3e0e6e7_787628944036496934_14626824.jpg,558,463,623,593,640,640,Shirt
4122,66847806e27323d5b191221246019154_955773770522119472_175581746.jpg,340,211,405,341,640,640,Outerwear
10914,1339d4b36427b28a1f02b5fe701eee89_812747811194474115_214428650.jpg,214,277,316,482,612,612,T-shirt
13958,ae131dc7c569166de53f7893db83ed58_810806790976923505_849342520.jpg,260,15,398,290,640,640,Shirt
17548,cecbce5dc9b979cc29d97448e0141111_639423529942637684_418744214.jpg,231,0,509,554,640,640,Dress
20013,69e1716c38ddfb1b5c671b7d41f3c677_709093040476392844_216834866.jpg,239,42,349,263,640,640,Outerwear
13562,e15e3e97ab51b0042d4ed141f9a8fa83_728218437257905518_1193227416.jpg,218,110,446,565,640,640,T-shirt
9083,6a36b5a914ea2f76b7a1274f5e3b03ba_667068766174507633_268221467.jpg,271,2,383,227,640,640,Outerwear
5728,69b5e0440ba4d7f418258717a13f790b_1083973370031268557_1618743223.jpg,68,46,163,236,320,320,T-shirt
10409,391e3335afc2a111776c94bd6514ea6c_1027511512532010724_361456552.jpg,364,16,522,331,640,640,Dress
24865,383b222270675e9aa6907990b3e336b8_793174091900519876_454574480.jpg,366,140,558,525,640,640,Shirt
4232,c2dd64ac19e9e0c6238d3d62e4d077f0_1139638776249587155_954281924.jpg,373,229,448,379,640,640,Dress
6691,a7d25b08dcfdd1bf8515a38d50bc9006_934687128829536227_1318670232.jpg,68,250,129,371,640,640,T-shirt
21868,062b0345e8beb83f2527014edd6d6225_533657513406320074_8939946.jpg,282,294,344,419,612,612,Dress
2045,298d4e45347c57c171a94cbbe1a49b6e_622413993724047623_319187523.jpg,326,196,387,317,640,640,Outerwear
15622,323f09a50f146f44ab32a0a2654f838e_661894500693033664_545901519.jpg,295,264,377,429,640,640,T-shirt
5403,b08861f6b34e0b4eed5c80ee0d34239a_879153605495070323_14160614.jpg,298,64,359,185,640,640,Outerwear
7350,080f193658be98989a51acecebbba2c9_985386360843250748_1467136258.jpg,62,263,223,582,640,640,Shirt
26218,c21fe1105b94b1b3e0aaf5f939923a8b_831423334914545810_1072735853.jpg,401,107,539,382,640,640,Shirt
5467,daae1682c913f657e8bd3fc0fda0a460_796228553543862462_183170081.jpg,299,175,374,325,640,640,Tank top
12767,d436e6bd5f00adaecce9089f51dcfdf6_806731198765596741_907431.jpg,295,84,387,269,640,640,Outerwear
23220,574c15e698142e5c9cb619e4ac9c9d33_874662796368604942_326834922.jpg,335,1,455,242,640,640,T-shirt
1890,398050ca7824978dde62ea9404aa345e_689785634483749564_490661167.jpg,398,86,528,347,640,640,Outerwear
2114,45e5545b676d9b1343e1c686d8e26bc0_697939777737178522_360182286.jpg,126,88,254,343,640,640,Outerwear
18196,de4498d3491ade3e8192d2bccddd12a8_719944261595910048_232605082.jpg,271,252,382,473,640,640,T-shirt
2898,2123ffb066160e2461d770643c1f7a56_734008947480048966_291680108.jpg,118,314,178,433,640,640,Suit
69,cce079bc3a99fa30d055c100bbc015c2_833992922272000959_177073481.jpg,40,135,145,345,640,640,Sweater
25210,2280f7837f3414a82fea71f26888ff07_728215365574929209_255406225.jpg,151,134,333,499,640,640,Sweater
13122,42f8a0f65af202c9014760b4532cf73f_748277318232590717_324558857.jpg,312,210,387,360,640,640,T-shirt
20692,f4bd35e055c98407b5bb73bc8fc955d2_727749878546305672_1272036411.jpg,0,93,94,283,480,480,Shirt
9477,88900d68cea1428f30dd192fb7b94c78_828760530952328242_397999548.jpg,273,164,335,289,640,640,Outerwear
9791,b94f850b6370ee9a0e14da408e347aa0_630496733398989443_15069765.jpg,89,231,291,636,640,640,Outerwear
16961,62ee1bf99e2c65798875bac5875b267e_671756374407638846_268362810.jpg,277,186,365,361,640,640,Outerwear
11279,7cea7ab09d10fb1294f6d4e8e2562599_506578922288023389_248972912.jpg,202,43,390,418,612,612,T-shirt
13596,74914939bdc7cb7587745b01d9912ec2_515639060126790982_231602844.jpg,253,261,381,516,612,612,Tank top
1551,c2423874018846bcbaacfe64f3d719fe_681225539864522880_25730795.jpg,339,124,414,274,640,640,Shirt
6549,980fdfead022dc693c7eac5a3c522e91_786320987791642693_570974179.jpg,257,77,516,598,640,640,T-shirt
9987,174df65f26f506416e176da1c3c2b61c_591225503953124344_224019541.jpg,264,183,369,393,640,640,Outerwear
26455,13b35846e10a86df1fb027836f00ece6_717762724758948647_44481.jpg,197,12,466,553,640,640,Shirt
